date,NVDA,AAPL,MSFT,MU,AMZN,AMD,GOOGL,AVGO,GOOG,META,TSLA,WMT,INTC,CSCO,COST,QQQ
2021-02-01,,0.3519605330168335,0.2725509998247548,,,0.4966196503396063,,,,,,,0.3438038904591909,0.3766725709982774,0.2248190377499917,0.2362028931040259
2021-02-02,,0.2813198303980895,0.2422012649726725,,,0.4429961261751774,,,,,,,0.3102407287246796,0.3609386220548936,0.1870055986412697,0.2287565379512239
2021-02-03,,0.293125656516898,0.2495334844382092,,,0.4188957683271585,,,,,,,0.3089217757591266,0.3565968339989731,0.2356214100127368,0.2684525457803582
2021-02-04,,0.285532417144284,0.2177883905667217,,,0.3936563854946686,,,,,,,0.2961194309784443,0.2849417882547521,0.2227705477301118,0.2544845055066991
2021-02-05,,0.2995911732775624,0.2223387848916554,,,0.3702685288990128,,,,,,,0.2877060742773653,0.2823834986378941,0.2138264680040084,0.2406405269778722
2021-02-08,,0.2957017695681523,0.2175141448025558,0.4043762627394086,,0.3936235703365686,,,,,,,0.304669248162228,0.2828246766807512,0.2048266361514477,0.2405918416012445
2021-02-09,,0.3132129965419887,0.2163300413249303,0.3958405823722999,,0.3882428530292612,,,,,,,0.3105858119885779,0.2983925819513785,0.1992882233771252,0.2521572184891078
2021-02-10,,0.3070546362929976,0.2285879140913303,0.4182570918873458,,0.3952419577103696,,,,,,,0.3229182759158127,0.2289920750665055,0.2154039648657056,0.2633596140370115
2021-02-11,,0.3040280111282927,0.201590910638647,0.4256487357493768,,0.370946395894594,,,,,,,0.3234838978159938,0.2240592015489671,0.2343709606369617,0.2462701133078297
2021-02-12,,0.2917699132084244,0.1931492009806862,0.3713085616657595,,0.3314040321199048,,,,,,,0.2924227231631908,0.2236630507679086,0.2394571502964699,0.2566654268685192
2021-02-16,,0.3005322441784436,0.2151424849349504,,,,,,,,,,,0.224071571063727,0.2706723629208328,0.2637264963459946
2021-02-17,,0.3090750545418912,0.2421877564510351,,,,,,,,,,,0.2199222433290145,0.2383590411650622,0.2662738947291397
2021-02-18,,0.3133887592282988,0.2355858351434669,,,,,,,,,,,0.2176612219412633,0.2350139496585388,0.26224413814251
2021-02-19,,0.3193254761305613,0.2538056338143009,,,,,,,,,,,0.2253448543436728,0.2698541778940936,0.2575155181414336
2021-02-22,,0.3411471154233917,0.2602723148536279,0.4747579208027536,,,,,,,,,0.3394066368670852,0.2393057778008422,0.2438223885060294,0.2774371237243301
