,NVDA,AAPL,MSFT,MU,AMZN,AMD,GOOGL,AVGO,GOOG,META,TSLA,WMT,INTC,CSCO,COST,QQQ
2021-02-10,,0.7945415862267989,0.6045964660425137,0.5023231570400636,,0.3952419577103696,,,,,,,0.9958178422622894,1.155476891067024,0.7666178720062923,0.5384072637118851
2021-02-11,,0.8324421511062347,0.6062179991770495,0.5595679832634897,,0.370946395894594,,,,,,,1.3077948050982453,1.219481384015153,0.7532039384287614,0.5408642396329914
2021-02-12,,0.8831934665241787,0.6157209231169328,0.5380466812321106,,0.3314040321199048,,,,,,,,1.199256847073681,0.7645585778873436,0.5665287343277036
2021-02-16,,,0.6493300281246227,,,,,,,,,,,1.190819002490266,0.8272282046702047,0.584717587656208
2021-02-17,,,0.680397412359035,,,,,,,,,,,1.175390086035781,0.8628015301271248,0.5846913382166609
2021-02-18,,,0.6837115249184142,,,,,,,,,,,1.2039876554234947,0.8774448223717677,0.5801923840628058
2021-02-19,,,0.6608148564957892,,,,,,,,,,,1.1579486164687909,0.8757100516524914,0.5727568431900305
2021-02-22,,0.6019614509014904,0.6162244282655932,0.5805742289397996,,,,,,,,,0.8526678645189497,1.196582602740028,0.8797118640684451,0.5497407916088047
2021-02-23,,0.5904411420613715,0.6055022969158163,0.5984212562208382,,,,,,,,,0.8884301096278445,1.2198692126856745,0.8306882536500242,0.5357920890969167
2021-02-24,,0.5838027070470979,0.6404447495207131,0.6511030442913498,,,,,,,,,1.108606530759932,1.2800319107233185,0.8029069508887186,0.5931591431511664
2021-02-25,,0.5877925880114988,0.6391825880937502,0.6797072386901252,,,,,,,,,0.9345510347485966,1.313322497311502,0.7690663569751178,0.5542711396617214
2021-02-26,,0.5690930927117783,0.6115034781207598,0.6889689093249114,,,,,,,,,0.9220314702240968,1.2176258210439748,0.779559787929219,0.5548179347813105
2021-03-01,,0.671140534001422,0.7205815671220007,0.7151399998791603,,0.4249664409080319,,,,,,,1.108211889192363,1.4496616826797326,0.7890145136651708,0.6370802240788466
2021-03-02,,0.6402457318743976,0.7018546340675943,0.6451279443598716,,0.5050344360856667,,,,,,,1.0069907448194375,1.4370767324754363,0.7513173003895995,0.5997830280860493
2021-03-03,,0.4068812021714486,0.3492532958340483,0.636690200565902,,0.4515412030458186,,,,,,,0.9719017691441452,1.4212532452647484,0.7792427982136206,0.296949950662705
