,AAPL,MSFT,NVDA,CRM,CSCO,IBM,AMZN,VZ,JPM,GS,AXP,V,TRV,UNH,JNJ,MRK,AMGN,BA,CAT,HON,MMM,WMT,PG,KO,MCD,NKE,DIS,HD,CVX,SHW,DIA
2021-02-23,0.5904420005423537,0.6055011291909452,,,1.2198692126856745,2.5196147738877244,,4.255290869334432,1.31072620430197,0.9483484306487324,0.6975327499425604,0.6167904246125313,1.083835530744853,0.6003410096654052,1.492384868335175,1.9242759456008696,,,0.947084049928906,1.0914312026248538,4.039216358724766,,1.5208546009665618,1.7366895087356398,0.9934551696431304,,0.5793476074456841,0.9565686059160128,2.2059052779016226,,0.8157098050491837
2021-02-24,0.5838031387779788,0.6404447495207131,,,1.280032379812586,2.7134465994682944,,4.348439671718403,1.4250428246970503,1.1233996265223047,0.7623713768602244,0.7462600597871881,1.1626688923039077,0.6311006483337049,1.5946689540689851,,,0.4928380662041753,1.0021631191827458,1.2939922300381403,4.188662694500423,,1.5521274663630729,1.8257820872101949,1.0587545484609442,,0.5922669501583474,0.8322145983933913,2.5792828092083253,,0.9133351994918253
2021-02-25,0.5877933238890322,0.6391833366997168,,,1.3133229740010828,2.715799717126405,,4.333225711157733,1.4134074429728278,1.1440857197833083,0.748530512345728,0.675533789150926,1.1020705396238624,0.6515024443833127,1.6469818120555098,,,0.535265788188335,1.0411310051931184,1.1949030504053286,4.353910970393769,,1.5423184145264377,,1.0013480849526015,,0.5701131849946871,0.8030479736491554,2.5268881077456453,,0.8579145288019984
2021-02-26,0.5690934732064065,0.6115038863050324,,,1.2176276730276645,2.6659411928012204,,4.299995688035061,1.28662358397053,1.0569497901923002,0.7015456426269224,0.6767686305051772,1.0780932700565184,,1.5303929521599997,,,,0.9482157382788936,1.1648637793227303,4.273842750257653,,1.3997037399808836,1.7012987030933189,0.9292503222936922,,0.5433446828258282,0.8213787139182724,2.4575082594923288,,0.7778106669670599
2021-03-01,0.671141073026213,0.7205806067255245,,0.4657817331793663,1.4496611499412877,2.9138765038842283,,4.58769796545834,1.495520233601532,1.2697532478053628,0.7819365793461118,0.7718797387249317,1.2572175382958468,0.6825090193649718,1.672494576276774,,1.5459176450910816,0.4911429397504323,1.0544563694795996,1.3321507298364414,4.696331284018405,,1.5969963175935586,1.9116930986727927,1.018575407625655,,0.5902021226012384,0.8937906039284977,2.809868835048482,,0.9409147995447511
2021-03-02,0.6402452310538995,0.7018537017981604,,0.4268602336461579,1.437077267736659,2.949064375451908,,4.741922931210031,1.4796462795962917,1.3211700557677402,0.8203592195687851,0.7732882075079379,1.3362002011476275,0.6768471871454643,1.7338945859637072,,1.5585267725295269,0.4895558724960965,0.9848981512619848,1.373440499302002,4.840274836707612,,1.5663335769223448,2.003190240104526,1.0590790935631729,,0.5793412094688348,0.8885878177098984,2.9787180000647444,,0.9405518252293776
2021-03-03,0.6208585540756291,0.6698805367558068,,0.4325497937104466,1.4212537828373404,3.155264730458997,,2.976171073524497,1.6650225593042909,0.9949918205045208,0.9844936088251935,0.8083934714227755,1.3786521559337683,0.7245254413352543,1.6761861753968397,,1.5900027809528756,0.5245216967173358,0.9990958869000408,1.4523284658329412,2.63374058131459,,1.617641866294671,2.053603029471449,1.0142529196417829,,0.6013165034300418,0.8607946906199682,1.9857693219000456,,0.45522188608207337
2021-03-04,0.4160497304773389,0.3558866341968807,,,1.365402455106435,1.5643161378353203,,2.90799252684411,1.6257000320269288,0.9693080293954068,1.0013045197146857,0.759803355733651,0.7452327121150647,0.7402726726002788,0.9637473268714672,,1.5002925876324156,0.5485161454559238,0.991013671640554,1.3400577277345034,2.610762075156697,,1.6119277089753046,2.090291678069644,1.019145477492432,,0.5815608837359851,0.7664100637849791,1.9772083002866605,,
2021-03-05,0.3953787657596763,0.3472532227990127,,0.4454840841049103,0.6693374308657037,1.7375144024175275,,3.114168415536475,1.6918588307402362,0.9414750162070452,1.181457258416733,0.8664264551013319,0.7753258758503909,0.9578368323097995,1.0513164061711082,,0.9579839487078792,0.5429210672575177,1.1977275620191965,1.501409722741564,2.787076659506541,,1.8852790246780933,,1.115215284728553,,0.5786678012766788,0.7881625689098168,2.1626528360361763,,0.48061389030611645
2021-03-08,0.4318668496081746,0.3617323901179902,,0.4887664750599352,0.7930275353910063,1.856431489418637,,3.310469010791396,1.9135216174695624,1.04031866192614,1.52599158810446,1.0966489656629883,0.8754405321668899,1.1624076264914378,1.1316485812047985,,0.998007420057875,0.5480056516292824,1.4011048579054262,1.778939860511718,3.006424162226657,,2.194057818820174,,1.3623342747852438,1.3188302842238488,0.9014559038871022,1.0289822819580523,2.3278897985233336,,0.5529005647367305
