,AAPL,MSFT,NVDA,CRM,CSCO,IBM,AMZN,VZ,JPM,GS,AXP,V,TRV,UNH,JNJ,MRK,AMGN,BA,CAT,HON,MMM,WMT,PG,KO,MCD,NKE,DIS,HD,CVX,SHW,DIA
2025-12-30,0.221101186876041,0.2420643077992068,0.33973476716067563,0.47832342731923716,0.11769920183731683,0.23122162805330926,0.23367772379445845,0.1494540647865265,0.23126006562224255,0.30081969184248003,0.18687061412621525,0.27540098126895396,0.13169161908633253,0.29584801829551466,,0.21631814775172858,0.21111289098033406,,,,0.2193441383481741,,0.1630662375476182,0.13650151973510058,0.16008581716960477,0.27832195283156014,,0.21676542376220936,,,
2025-12-31,0.2230616294561062,0.2221728611746405,0.34628717346262083,0.5161526394537497,0.14721667986008943,0.22459778352955145,0.2346304803511514,,0.22749042044242868,,0.20768744800116035,0.26163358321758606,0.2790180861595458,0.2792174100778991,,0.20359281857463635,0.2211879335952828,,,,,,0.1536266680095127,0.1294781470680912,0.14948494642996993,0.2938685093480495,,,,,
2026-01-02,0.2276665905335179,0.2198019193104265,0.3580538650851034,0.4094344760638938,0.21554958505918623,0.23606048679915406,0.25344683193925366,,0.23445960394846319,,0.20804824142054754,0.2085181347260733,,0.2783062888732868,,0.21404897301798664,0.2495726526992285,,,,0.21343941991438825,0.19613831844932952,0.16147304527284856,0.12893614732368247,0.15078446064980822,0.2887374858190719,0.20004295100600045,,,,
2026-01-05,0.2408064318986718,0.230982725224079,0.39805713714866886,0.5342819758894871,0.20927924833496378,0.2501200266270829,0.25731841074301975,,0.22562087384003393,0.37778445602803756,0.26879233234277927,0.37348977081177526,0.267627902290427,0.3398184989227324,,0.23454421097022926,0.256954587714411,,,,0.24208630203347517,0.2257508107812912,0.18659757286251955,0.16296510289967633,0.16473842605064185,0.3068245488462076,0.23522943462466767,,0.2771548913814976,,0.11187064655460434
2026-01-06,0.2355705420821321,0.2449443056818896,0.3714777921153008,,0.20591920974997546,0.257233423892489,0.3779293252140154,,0.2614592343576803,0.3672868370576589,0.33168042529608927,0.23510207208100728,0.2704175102682238,0.4359909349992198,,0.25288640046908895,0.2861393478317292,,,,0.24497188612283072,0.22951746576206739,,,0.1733442124271318,0.305583796113879,0.18356614455791387,,,,0.12412758252163453
2026-01-07,0.243967606347446,0.2628114092498148,0.3671010936181484,,0.20808659147856784,0.26590486351576803,0.3804448898023344,,0.2562056284757288,0.36454194079287894,0.2832870222082536,0.24098118306551822,0.2505038651790179,0.39946770213317023,,0.26883774849735087,0.31126370117460833,,,,0.24529313239110595,0.2590366464520019,,0.17066519811054395,0.17874559316786257,0.3159358511500246,0.21472838714942646,,,,0.11209251321140573
2026-01-08,0.2500709335436707,0.227931548092771,0.36119568392803375,0.7146736608663137,0.2175392982796035,0.25346260168222357,0.381412037602894,,0.26780727718651615,0.38599271146826314,0.35020144606118786,0.23752512934240821,0.28449136226849114,0.3783812860516679,,,0.3017982155044599,,,,0.2587673630336918,0.26649707188921834,0.2090688301265175,0.20120364036965288,0.17843821230970183,0.30792107780876965,,,0.2813146384018976,0.2545534183481128,0.13121818657508572
2026-01-09,0.2405876061030281,0.2268144165086561,0.3510268130043304,0.5962891392308654,0.18882534625726732,0.24840368790355505,0.3768331994896519,,0.24476324118540915,0.38242679247810185,0.3057752527198103,0.1939888265161943,0.19685358191404093,0.3896192988903468,,0.2708683370135017,0.3389051918203379,0.25969231230326423,,,0.24389537119289953,0.24002524592691188,0.17828501948039036,0.1593978510420619,0.1689248024019856,0.29716091520750976,,0.23493803658654286,0.25226898699969935,0.2656566980315155,0.10687660275538356
2026-01-12,0.2526172558037907,,0.34931243718839605,,,,0.3931010901121771,,0.2422901278291726,,,0.25450208925051376,,0.4353379119063854,,,,,,,,,,,0.17633375502719204,0.31162469973062745,,,0.2594045198584544,0.2779314339103414,
2026-01-13,0.2460999444747059,,0.3492615059975275,,,,0.40214254532256366,,0.22268242796101267,,,0.264693968488489,,0.386591116384385,,,,,,,,,,,0.18083463978153444,0.30788392296205785,,,,0.28571854512069844,
